gene,fragment ID,fragment start (aa),fragment end (aa),fragment center (aa),fragment length (aa),E = inhibitory effect (enrichment),sem(E),hydrophobicity_KyteDoolittle_classifier,instabIndex_Guruprasad_classifier,charge_Lehninger_classifier,frag_contains_alphaHelix,frag_contains_betaStrand,frag_contains_Turn,frag_centroid_fractional_position_classifier
EGFP-coding-pEGFP,EGFP-coding-pEGFP_16_45_+,6,15,10.5,10,0.277702308,0.03832735,hydrophobic,unstable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_16_90_+,6,30,18,25,-0.417512316,0.105113317,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_16_165_+,6,55,30.5,50,-0.461539648,0.310617384,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_19_48_+,7,16,11.5,10,0.359054997,0.00424715,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_19_78_+,7,26,16.5,20,0.568065976,0.056596879,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_19_93_+,7,31,19,25,0.131777037,0.012552422,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_19_93_+,7,31,19,25,0.004563282,0.180418022,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_19_108_+,7,36,21.5,30,0.119278511,0.139890141,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_19_168_+,7,56,31.5,50,0.377754136,0.005913636,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_22_51_+,8,17,12.5,10,0.326263144,0.028348932,hydrophobic,stable,neutral,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_22_81_+,8,27,17.5,20,0.702153885,0.095371592,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_22_96_+,8,32,20,25,0.150663695,0.058702438,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_22_96_+,8,32,20,25,0.177674114,0.092082835,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_22_105_+,8,35,21.5,28,-0.356614202,0.500113598,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_22_111_+,8,37,22.5,30,-0.463168022,0.163448877,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_22_141_+,8,47,27.5,40,-0.5647139,0.782576144,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_22_171_+,8,57,32.5,50,0.497444237,0.117880863,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_25_54_+,9,18,13.5,10,1.400863237,0.102082952,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_25_84_+,9,28,18.5,20,0.437729443,0.077468087,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_25_99_+,9,33,21,25,0.898916592,0.068583745,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_25_99_+,9,33,21,25,1.246739492,0.115751025,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_25_114_+,9,38,23.5,30,0.385675588,0.146767742,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_25_174_+,9,58,33.5,50,1.189674457,0.079258607,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_28_57_+,10,19,14.5,10,0.248378259,0.017683412,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_28_87_+,10,29,19.5,20,-0.555836166,0.122296568,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_28_96_+,10,32,21,23,-0.160645403,0.081576931,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_28_102_+,10,34,22,25,-0.371866251,0.006682681,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_28_102_+,10,34,22,25,-0.358931812,0.002706388,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_28_117_+,10,39,24.5,30,-0.616033134,0.128367834,hydrophilic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_28_177_+,10,59,34.5,50,0.095370222,0.188140494,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_31_60_+,11,20,15.5,10,0.47219023,0.005586504,hydrophobic,unstable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_31_87_+,11,29,20,19,-1.001749499,0.491354864,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_31_90_+,11,30,20.5,20,-0.255987431,0.048137882,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_31_105_+,11,35,23,25,-0.256050132,0.0506477,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_31_105_+,11,35,23,25,-0.076088645,0.158580658,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_31_120_+,11,40,25.5,30,-0.193760347,0.12916644,hydrophilic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_31_180_+,11,60,35.5,50,-0.2273971,0.065038034,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_34_63_+,12,21,16.5,10,0.106878664,0.055842794,hydrophobic,unstable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_34_93_+,12,31,21.5,20,-0.110367578,0.021071261,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_34_108_+,12,36,24,25,-0.077927289,0.030647174,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_34_108_+,12,36,24,25,-0.161159836,0.073802685,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_34_120_+,12,40,26,29,-0.265693824,0.074971988,hydrophilic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_34_123_+,12,41,26.5,30,-0.194052621,0.105148136,hydrophilic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_34_183_+,12,61,36.5,50,-0.569295257,0.173670409,hydrophobic,stable,negative,1,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_37_66_+,13,22,17.5,10,0.363789003,0.013436841,hydrophobic,unstable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_37_96_+,13,32,22.5,20,0.140949891,0.071476964,hydrophobic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_37_111_+,13,37,25,25,-0.202382169,0.042298374,hydrophilic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_37_111_+,13,37,25,25,-0.12617743,0.15319974,hydrophilic,stable,negative,0,1,0,N-terminal
EGFP-coding-pEGFP,EGFP-coding-pEGFP_37_126_+,13,42,27.5,30,-0.098938046,0.200290863,hydrophilic,stable,negative,1,1,0,N-terminal
